Stone,Column,Order,PID,Name,M/F,Birth date,Year of departure,Age at departure,Death date,Notes,Pioneer Database Link
14,Right,31,K2XK-MC1,"Blackey, Adolphus Ethelbert Orson",M,1865-10-26,1866,infant,July 1866,"May not have died on trail. Family tradition suggests that he died on the trial. However, his name does not show up on the list of company dead. ",https://history.churchofjesuschrist.org/chd/individual/adolphus-ethelbert-orson-blackley-1865
9,Center,9,KWVG-YR3,"Blackner, Emilie",F,1860-05-02,1860,infant,15 July 1860,,https://history.churchofjesuschrist.org/chd/individual/emilie-blackner-1860
6,Right,29,9QLL-BQS,"Blair, David Brigham Major",M,About 1855,1856,infant,1856,,https://history.churchofjesuschrist.org/chd/individual/david-brigham-major-blair-1855
15,Right,21,KWVC-9ZR,"Boden, John",M,1868-08-16,1868,infant,30 August 1868,,https://history.churchofjesuschrist.org/chd/individual/john-boden-1868
12,Right,35,2YGW-LCM,"Bondesson, Kersti",F,1860-12-08,1863,2,22 July 1863,,https://history.churchofjesuschrist.org/chd/individual/kersti-bondesson-1860
14,Right,32,KLJV-KW6,"Boneham, Elizabeth",F,1859-11-06,1866,6,29 August 1866,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-boneham-1859
2,Center,10,LH5C-4CY,"Boren, Hosea Berian",M,1839-12-25,1852,12,16 July 1852,,https://history.churchofjesuschrist.org/chd/individual/hosea-berian-boren-1839
2,Center,11,LH5C-4X7,"Boren, Lucretia Jane",F,1850-10-11,1852,1,12 July 1852,,https://history.churchofjesuschrist.org/chd/individual/lucretia-jane-boren-1850
12,Right,36,KWJD-MKM,"Bowman, Thomas Dury",M,1862-01-15,1863,1,4 October 1863,DID NOT DIE EN ROUTE. He died in Salt Lake City. ,https://history.churchofjesuschrist.org/chd/individual/thomas-dury-bowman-1862
13,Right,72,MHV6-9JY,"Briggs, Hyrum",M,1864-05-01,1864,infant,1864,May not have died en route. Not enough information to confirm his date of death. ,https://history.churchofjesuschrist.org/chd/individual/hyrum-briggs-1864
6,Right,30,K653-XFH,"Briggs, Mary Hannah",F,1849-05-16,1856,7,29 November 1856,,https://history.churchofjesuschrist.org/chd/individual/mary-hannah-briggs-1849
6,Right,31,KWJ7-8TS,"Briggs, Thomas",M,1843-02-18,1856,13,11 November 1856,,https://history.churchofjesuschrist.org/chd/individual/thomas-briggs-1843
12,Right,37,KXRL-1HS,"Brown, NN",M,1863-08-29,1863,infant,29 August 1863,,https://history.churchofjesuschrist.org/chd/individual/baby-boy-brown-1863
9,Center,10,KXMH-BT8,"Budge, William Scott",M,1859-02-17,1860,1,15 August 1860,,https://history.churchofjesuschrist.org/chd/individual/william-scott-budge-1859
1,Right,48,KWVQ-WJ2,"Bull, Winona Jane",F,1849-09-22,1849,infant,23 September 1849,,https://history.churchofjesuschrist.org/chd/individual/winona-jane-bull-1849
10,Right,34,93FX-ZV9,"Bullock, Elizabeth Platt",F,1862-09-04,1862,infant,September 1862,,https://history.churchofjesuschrist.org/chd/individual/elizabeth-platt-bullock-1862
10,Left,4,LL9Q-51Q,"Burdett, Fannie",F,1860-05-07,1861,1,1 August 1861,,https://history.churchofjesuschrist.org/chd/individual/fannie-burdett-1860
13,Right,73,K2QX-GML,"Burgener, Jacob",M,1853-12-06,1864,10,17 October 1864,,https://history.churchofjesuschrist.org/chd/individual/jacob-burgener-1853
1,Right,58,KWVT-KLC,"Burns, Franklin ",M,1845-01-03,1850,5,16 July 1850,,https://history.churchofjesuschrist.org/chd/individual/franklin-burns-1845
10,Right,35,KWVL-ZB7,"Burtenshaw, James",M,1859-07-22,1862,3,12 September 1862,,https://history.churchofjesuschrist.org/chd/individual/james-burtenshaw-1859
4,Left,1,K2MW-VXR,"Burton, Eliza",F,1837-10-18,1854,16,August 1854,,https://history.churchofjesuschrist.org/chd/individual/eliza-burton-1837
1,Right,59,KWVR-3WK,"Burton, Eliza Rebecca ",F,1848-02-17,,,8 October 1850,DID NOT DIE ON TRAIL. Died in Iowa two years before her mother traveled to Utah. She had been removed from the Pioneer Database.,Removed from BioDB
4,Left,2,K2MW-VXN,"Burton, Emma",F,1843-10-16,1854,10,September 1854,May not have died en route. Death date not confirmed.,https://history.churchofjesuschrist.org/chd/individual/emma-burton-1843
1,Right,60,KWVR-3W3,"Burton, Emma ",F,1845-09-17,,,31 October 1850,DID NOT DIE ON TRAIL. Died in Iowa two years before her mother traveled to Utah. She had been removed from the Pioneer Database.,Removed from BioDB
4,Left,3,K2MW-V61,"Burton, Jane",F,1840-03-22,1854,14,September 1854,May not have died en route. Death date not confirmed.,https://history.churchofjesuschrist.org/chd/individual/jane-burton-1840
6,Right,32,LZKY-51Q,"Burton, Lorenzo Daw",M,1844-06-02,1856,12,24 July 1856,,https://history.churchofjesuschrist.org/chd/individual/lorenzo-daw-burton-1844
2,Center,12,KWVG-KHB,"Busenbark, Isaac",M,1851-12-08,1852,infant,18 June 1852,,https://history.churchofjesuschrist.org/chd/individual/isaac-busenbark-1851
5,Right,17,LZ5G-VMM,"Bush, Joseph",M,March 1853,1853,2,July 1855,,https://history.churchofjesuschrist.org/chd/individual/joseph-bush-1853
4,Left,4,K2W4-NS7,"Butterworth, Mary",F,1854-01-01,1854,infant,1854,May not have died on trail. No documentation to confirm an exact date of birth or death. ,https://history.churchofjesuschrist.org/chd/individual/mary-butterworth-1854
2,Center,13,KWVG-YW3,"Callaway, Lucy Elizabeth",F,1851-09-20,1852,infant,13 August 1852,,https://history.churchofjesuschrist.org/chd/individual/lucy-elizabeth-callaway-1851
1,Right,61,KWVH-PGR,"Camp, Emma Eliza",F,1844-04-23,1850,6,28 June 1850,,https://history.churchofjesuschrist.org/chd/individual/emma-eliza-camp-1844
1,Right,62,KNXN-9Q8,"Campbell, Heber Kimball ",M,1845-03-07,1850,5,9 July 1850,,https://history.churchofjesuschrist.org/chd/individual/heber-kimball-campbell-1845
12,Right,38,KWVC-S2X,"Cannon, Georgianna Hoagland",F,May 1861,1863,2,2 September 1863,,https://history.churchofjesuschrist.org/chd/individual/georgiana-hoagland-cannon-1861
6,Right,33,KWV5-3XY,"Card, Polly Caroline",F,1841-10-31,1856,14,2 July 1856,,https://history.churchofjesuschrist.org/chd/individual/polly-caroline-card-1841
13,Right,74,KPQ8-WQ5,"Carlin, James",M,1863-11-25,1864,infant,10 September 1864,,https://history.churchofjesuschrist.org/chd/individual/james-carlin-1863
14,Right,33,KWJJ-3JG,"Carlsen, Christian",M,1852-11-20,1866,13,14 September 1866,,https://history.churchofjesuschrist.org/chd/individual/christian-carlsen-1852
4,Left,5,LH29-YBC,"Carroll, George",M,1849-09-30,1854,4,5 July 1854,,https://history.churchofjesuschrist.org/chd/individual/george-carroll-1849
1,Right,63,KWVP-T91,"Carter, Lorenzo ",M,1844-04-09,1850,6,Unknown,May not have died on trail. No documentation of him on the trail with his family. May have died before the family left Winter Quarters.,https://history.churchofjesuschrist.org/chd/individual/lorenzo-carter-1844
1,Right,64,MW1C-2T8,"Catlin, Sarah Altana ",F,1846-10-28,1850,3,26 June 1850,,https://history.churchofjesuschrist.org/chd/individual/sarah-altana-catlin-1846
14,Right,34,9VYC-46V,"Chambers, Jeanette",F,1866-02-14,1866,infant,September 1866,,https://history.churchofjesuschrist.org/chd/individual/jeanett-chambers-1866
13,Right,75,KWV5-6G1,"Chappell, Angelina Arthelia",F,1862-03-05,1864,2,18 September 1864,,https://history.churchofjesuschrist.org/chd/individual/angelina-arthelia-chappell-1862
13,Right,76,LLQ8-VYN,"Chappell, Emily Ann",F,1849-09-05,1864,14,23 September 1864,,https://history.churchofjesuschrist.org/chd/individual/emily-ann-chappell-1849
13,Right,77,KWV5-6PW,"Chappell, Jemima Elizabeth",F,1863-12-10,1864,infant,5 September 1864,,https://history.churchofjesuschrist.org/chd/individual/jemima-elizabeth-chappell-1863
9,Center,11,KWVP-Q55,"Cherrington, Esther",F,September 1857,1860,3,August 1860,,https://history.churchofjesuschrist.org/chd/individual/esther-cherrington-1857
9,Center,12,KWJD-JG5,"Cherrington, Hyrum",M,1854-10-06,1860,5,August 1860,,https://history.churchofjesuschrist.org/chd/individual/hyrum-cherrington-1854
9,Center,13,KWVP-Q5P,"Cherrington, John Cartwright",M,1859-10-03,1860,infant,10 July 1860,,https://history.churchofjesuschrist.org/chd/individual/john-cartwright-cherrington-1859
8,Center,5,L78D-17Q,"Christensen, Andrea",F,1855-11-10,1857,1,6 August 1857,,https://history.churchofjesuschrist.org/chd/individual/andrea-christensen-1855
5,Right,18,KN92-CXG,"Christensen, Mette Marie",F,1853-03-11,1855,2,26 June 1855,,https://history.churchofjesuschrist.org/chd/individual/mette-marie-christensen-1853
15,Right,22,KWJF-67J,"Christiansen, Berthe Katrine",F,1854-08-01,1868,14,16 September 1868,,https://history.churchofjesuschrist.org/chd/individual/bertha-katrina-christiansen-1854
2,Center,14,27JW-YXJ,"Clark, Sarah",F,1844-09-10,1852,7,7 September 1852,,https://history.churchofjesuschrist.org/chd/individual/sarah-clark-1844
12,Right,39,KWJ7-48W,"Clark, Willard Oliver",M,1862-01-14,1863,1,22 August 1863,,https://history.churchofjesuschrist.org/chd/individual/willard-oliver-clark-1862
10,Left,5,KWV5-514,"Clayton, Sarah Elizabeth",F,1860-09-17,1861,infant,13 September 1861,,https://history.churchofjesuschrist.org/chd/individual/sarah-elizabeth-clayton-1860
2,Center,15,KWV5-M3S,"Clinger, Elmira Zalotta",F,1851-04-26,1852,1,5 July 1852,,https://history.churchofjesuschrist.org/chd/individual/elmira-zallotta-clinger-1851
13,Right,78,LTD9-JLH,"Cockerhill, Phoebe",F,1859-07-19,1864,4,20 October 1864,,https://history.churchofjesuschrist.org/chd/individual/phoebe-cockerhill-1859
5,Right,19,KHGY-CLM,"Cockle, Alice",F,1837-09-17,1855,17,1855,,https://history.churchofjesuschrist.org/chd/individual/alice-cockle-1837
8,Center,6,2FVG-13G,"Coldiron, William Henry Harrison",M,1851-03-03,1857,6,1857,May not have died on trail. May have died before the family left Winter Quarters. ,https://history.churchofjesuschrist.org/chd/individual/william-henry-harrison-coldiron-1851
4,Right,30,KWV5-CCP,"Cole, Elvira Ann",F,1853-02-12,1853,infant,21 June 1853,,https://history.churchofjesuschrist.org/chd/individual/elvira-ann-cole-1853
9,Center,14,KWV5-Y51,"Colledge, Eunice Ann",F,1858-06-13,1860,2,1 August 1860,,https://history.churchofjesuschrist.org/chd/individual/eunice-ann-colledge-1858
2,Center,16,KWVP-GQ7,"Colvin, Sarah Jane ",F,1851-03-08,1852,1,1852,,https://history.churchofjesuschrist.org/chd/individual/sarah-jane-colvin-1851
10,Left,6,KWVG-ZFJ,"Conk, Howard B.",M,1860-07-29,1861,infant,12 September 1861,,https://history.churchofjesuschrist.org/chd/individual/howard-b-conk-1860
14,Right,35,MWS6-6YL,"Cook, Susannah",F,1865-01-01,1866,1,22 July 1866,,https://history.churchofjesuschrist.org/chd/individual/susannah-cook-1865
4,Right,31,9WDW-LHC,"Cooley, Samuel William",M,1852-08-05,1853,infant,9 July 1853,,https://history.churchofjesuschrist.org/chd/individual/samuel-william-cooley-1852
10,Right,36,KWVQ-Z5F,"Cooper, Ruth",F,September 1862,1862,infant,September 1862,,https://history.churchofjesuschrist.org/chd/individual/ruth-cooper-1862
14,Right,36,LR9X-JWD,"Cottle, George",M,1854-04-20,1866,11,24 July 1866,,https://history.churchofjesuschrist.org/chd/individual/george-cottle-1854
14,Right,37,KP4X-Q4D,"Cottle, Joseph",M,1858-01-01,1866,8,10 July 1866,,https://history.churchofjesuschrist.org/chd/individual/joseph-cottle-1858
12,Right,40,L25L-91G,"Courts, Lydia",F,About 1859,1863,About 4,21 August 1863,,https://history.churchofjesuschrist.org/chd/individual/lydia-courts-1859
1,Right,40,KWVQ-G81,"Cox, Lucretia",F,1841-12-29,1848,6,15 June 1848,,https://history.churchofjesuschrist.org/chd/individual/lucretia-cox-1841
4,Right,32,K2L1-MJG,"Crabb, John Calder",M,About 1845,1853,About 8 ,6 July 1853,,https://history.churchofjesuschrist.org/chd/individual/john-calder-crabb-1845
10,Right,37,KWVP-93F,"Crabbe, Anne Eliza",F,1860-12-13,1862,1,1 October 1862,,https://history.churchofjesuschrist.org/chd/individual/annie-eliza-crabb-1860
14,Right,38,LLMJ-K7K,"Crane, Samuel",M,1862-02-20,1866,4,11 September 1866,,https://history.churchofjesuschrist.org/chd/individual/samuel-crane-1862
1,Right,65,LLSC-WYC,"Cravath, Rodolphus ",M,1833-01-01,1850,17,25 June 1850,,https://history.churchofjesuschrist.org/chd/individual/rodolphus-cravath-1833
13,Right,79,K2Q9-CYY,"Crawford, Janet",F,1863-12-10,1864,infant,1864,May not have died on trail. No primary source evidence to confirm birth or death dates. ,https://history.churchofjesuschrist.org/chd/individual/janet-crawford-1863
13,Right,80,KNH6-29R,"Crowther, Henry",M,1859-12-08,1864,4,1 October 1864,,https://history.churchofjesuschrist.org/chd/individual/henry-crowther-1859
13,Right,81,LL4W-33Y,"Crowther, John ",M,1862-01-05,1864,1,1864,"May not have died on trail. FamilySearch suggests that he died in Coalville, Utah. ",https://history.churchofjesuschrist.org/chd/individual/john-crowther-1862
12,Right,41,KWJF-1NV,"Crystal, William",M,1862-09-08,1863,infant,30 August 1863,,https://history.churchofjesuschrist.org/chd/individual/william-crystal-1862
12,Right,42,KWVQ-9YP,"Cunningham, Robert Cartwright",M,1856-10-18,1863,6,August 1863,,https://history.churchofjesuschrist.org/chd/individual/robert-cartwright-cunningham-1856
10,Right,38,KWVP-B2S,"Dansie, Joseph",M,1862-09-21,1862,infant,21 September 1862,,https://history.churchofjesuschrist.org/chd/individual/joseph-dansie-1862
1,Right,66,LHND-MQD,"Dart, George William ",M,1842-03-09,1850,8,30 June 1850,,https://history.churchofjesuschrist.org/chd/individual/george-william-dart-1842
1,Right,67,M214-KRN,"Dart, Harriet Paulina",F,1836-03-17,1850,14,30 June 1850,,https://history.churchofjesuschrist.org/chd/individual/harriet-paulina-dart-1836
3,Right,19,KHNJ-RP7,"David, Thomas",M,1838-07-20,1852,13,June 1852,,https://history.churchofjesuschrist.org/chd/individual/thomas-david-1838
15,Right,23,KWVP-CHL,"Davies, Henry",M,1866-10-30,1868,1,13 August 1868,,https://history.churchofjesuschrist.org/chd/individual/henry-davies-1866
4,Right,33,9VR4-82V,"Davies, William",M,April 1851,1853,2,21 June 1853,,https://history.churchofjesuschrist.org/chd/individual/william-davies-1851
13,Left,1,KJHZ-DYZ,"Davis, Eli",M,1859-10-16,1864,4,July 1864,,https://history.churchofjesuschrist.org/chd/individual/eli-davis-1859
13,Left,2,KWJN-QMQ,"Davis, Moroni",M,1858-12-22,1864,5,13 August 1864,,https://history.churchofjesuschrist.org/chd/individual/moroni-davis-1858
10,Right,39,KCYG-BY4,"Daynes, John Thomas",M,July 1862,1862,infant,September 1862,,https://history.churchofjesuschrist.org/chd/individual/john-thomas-daynes-1862
9,Center,15,KWJY-P86,"Dean, Catherine Deseret",F,1860-07-28,1860,infant,8 August 1860,DID NOT DIE ON TRAIL. Died in Utah. She is buried in the Salt Lake City cemetery. ,https://history.churchofjesuschrist.org/chd/individual/catherine-deseret-dean-1860
15,Right,24,KWVP-Z1K,"Dearden, Sarah",F,1867-02-09,1868,1,11 August 1868,,https://history.churchofjesuschrist.org/chd/individual/sarah-dearden-1867
15,Right,25,KWVG-48X,"Doman, Joseph",M,July 1867,1868,infant,1868,,https://history.churchofjesuschrist.org/chd/individual/joseph-doman-1867
6,Right,34,MK8W-PSG,"Douglass, William",M,1840-10-12,1856,15,19 November 1856,,https://history.churchofjesuschrist.org/chd/individual/william-douglass-1840
10,Right,40,KWVW-RQR,"Downard, Edward Hirum",M,1861-01-19,1862,1,1862,May not have died on trail. No documentation supporting that he died en route. ,https://history.churchofjesuschrist.org/chd/individual/edward-hirum-downard-1861
13,Left,3,MHXS-YG7,"Droubay, John Baptist",M,1857-08-25,1864,6,1864,,https://history.churchofjesuschrist.org/chd/individual/john-baptist-droubay-1857
4,Left,6,KWJ6-2T4,"Du Fresne, Jane Mary",F,1845-06-24,1854,8,June 1854,"May not have died on trail. May have died before the trek. Listed in ""Company Unknown 1854.""",https://history.churchofjesuschrist.org/chd/individual/jane-mary-du-fresne-1845
4,Left,7,KWVT-9LR,"Duffin, Richard",M,1849-04-03,1854,5,18 August 1854,,https://history.churchofjesuschrist.org/chd/individual/richard-duffin-1849
12,Right,43,K4YZ-DJS,"Duncan, Jane",F,1862-10-06,1863,infant,11 September 1863,"Surname in FamilySearch is ""McKinnon."" ",https://history.churchofjesuschrist.org/chd/individual/jane-duncan-1862
4,Right,34,KZ5Q-3TJ,"Duncan, Julia",F,1853-07-09,1853,infant,9 July 1853,,https://history.churchofjesuschrist.org/chd/individual/julia-duncan-1853
15,Right,26,KHDS-YPL,"Dunn, Charlotte ",F,1859-05-12,1868,9,12 September 1868,,https://history.churchofjesuschrist.org/chd/individual/charlotte-pheobe-dunne-1859
3,Right,20,KNQZ-YMF,"Dunn, Emma",F,1839-08-02,1852,12,1852,,https://history.churchofjesuschrist.org/chd/individual/emma-dunn-1839
3,Right,21,KF2Y-N23,"Dunn, Sarah Ann",F,1850-03-02,1852,2,1852,,https://history.churchofjesuschrist.org/chd/individual/sarah-ann-dunn-1850
1,Right,68,KWVH-VHG,"Durfee, Celestia Ann ",F,1847-09-21,1850,2,6 July 1850,,https://history.churchofjesuschrist.org/chd/individual/celestia-ann-durfee-1847
10,Right,41,KWVH-BTM,"Dye, Richard Thomas",M,1861-05-13,1862,1,12 August 1862,,https://history.churchofjesuschrist.org/chd/individual/richard-thomas-dye-1861
15,Right,12,KWJ6-L93,"Dyer, Valentina Elizabeth",F,1866-02-14,1867,1,August 1867,,https://history.churchofjesuschrist.org/chd/individual/valentina-elizabeth-dyer-1866
5,Right,20,KWVS-ZDG,"East, Mary",F,About July 1850,1855,4,19 June 1855,,https://history.churchofjesuschrist.org/chd/individual/mary-east-1850
5,Right,21,KWVS-ZDP,"East, Nancy",F,1848-04-20,1855,7,4 July 1855,,https://history.churchofjesuschrist.org/chd/individual/nancy-east-1848
5,Right,22,LLQX-4X8,"East, William H.",M,1842-11-17,1855,12,27 June 1855,,https://history.churchofjesuschrist.org/chd/individual/william-h-east-1842
15,Right,27,KWV3-2YQ,"Easthope, John",M,1868-09-02,1868,infant,14 September 1868,,https://history.churchofjesuschrist.org/chd/individual/robert-john-easthope-1868
4,Left,8,KWJ4-NNK,"Eatough, Roger",M,1838-12-07,1854,15,1854,,https://history.churchofjesuschrist.org/chd/individual/roger-eatough-1838
13,Left,4,KWJX-822,"Edlefsen, George Cannon",M,1862-11-15,1864,1,22 August 1864,,https://history.churchofjesuschrist.org/chd/individual/george-cannon-edlefsen-1862
10,Left,7,9V99-BWC,"Edwards, Leah M. ",F,About 1857,1861,4,About September 1861,,https://history.churchofjesuschrist.org/chd/individual/leah-matilda-edwards-1857
1,Right,49,KWVW-DHT,"Egbert, Joseph Orson",M,1848-12-28,1849,infant,27 July 1849,,https://history.churchofjesuschrist.org/chd/individual/joseph-orson-egbert-1848
12,Right,44,KNHL-NRR,"Eliason, Oscar Joseph James",M,1862-12-26,1863,infant,11 August 1863,,https://history.churchofjesuschrist.org/chd/individual/oscar-joseph-james-eliason-1862
12,Right,45,L7NY-16Y,"Eliasson, Beata",F,1846-12-22,1863,16,12 October 1863,"May not have died on trail. She came in 1863 in an ""Unknown Company."" Based on her dates of travel, she probably died in Utah.",https://history.churchofjesuschrist.org/chd/individual/beata-eliasson-1846
6,Right,35,L64H-1SQ,"Elliker, Susannna ",F,1841-10-21,1856,14,17 August 1856,,https://history.churchofjesuschrist.org/chd/individual/susanna-elliker-1841
12,Right,46,KWJZ-31C,"Ellingford, Samuel",M,1853-02-09,1863,10,1863,"May not have died on trail. He came in 1863 in an ""Unknown Company."" No documentation showing when the family reached Utah. ",https://history.churchofjesuschrist.org/chd/individual/samuel-ellingford-1853
6,Right,36,K884-YFD,"Empey, William",M,1846-12-16,1856,9,7 November 1856,,https://history.churchofjesuschrist.org/chd/individual/william-empey-1846
12,Right,47,KWJK-564,"Erickson, Hulda Margana",F,1862-04-12,1863,1,July 1863,,https://history.churchofjesuschrist.org/chd/individual/hulda-mariana-erickson-1862
12,Right,48,K2W7-FMS,"Eskelsen, Jensine",F,1862-06-19,1863,infant,August 1863,,https://history.churchofjesuschrist.org/chd/individual/jensine-eskelsen-1862
